item_id,item_name,category,style,color,season,price_range,material
1,Item_1,Outerwear,Bohemian,Red,All,Medium,Wool
2,Item_2,Accessory,Formal,Pink,Winter,Low,Linen
3,Item_3,Accessory,Bohemian,Grey,Summer,Medium,Cotton
4,Item_4,Accessory,Streetwear,Red,Spring,Low,Polyester
5,Item_5,Bottom,Sporty,Blue,Summer,Low,Wool
6,Item_6,Accessory,Streetwear,Brown,Summer,Medium,Denim
7,Item_7,Outerwear,Bohemian,Grey,Spring,Medium,Silk
8,Item_8,Bottom,Formal,Pink,Spring,Medium,Linen
9,Item_9,Top,Streetwear,Grey,Fall,Medium,Denim
10,Item_10,Top,Formal,Grey,Spring,Low,Synthetic
11,Item_11,Bottom,Casual,Purple,All,Medium,Denim
12,Item_12,Outerwear,Streetwear,Grey,Fall,Medium,Linen
13,Item_13,Dress,Casual,Black,All,Medium,Synthetic
14,Item_14,Dress,Streetwear,Red,Fall,High,Wool
15,Item_15,Footwear,Sporty,Purple,Fall,Low,Silk
16,Item_16,Dress,Formal,Pink,All,High,Silk
17,Item_17,Accessory,Casual,Yellow,Winter,Medium,Denim
18,Item_18,Outerwear,Bohemian,Blue,Winter,Medium,Wool
19,Item_19,Dress,Streetwear,Blue,Summer,High,Synthetic
20,Item_20,Footwear,Casual,Red,Winter,Medium,Silk
21,Item_21,Top,Streetwear,Purple,Summer,Low,Silk
22,Item_22,Bottom,Streetwear,Yellow,Winter,Medium,Synthetic
23,Item_23,Dress,Streetwear,Black,Summer,Medium,Cotton
24,Item_24,Bottom,Casual,Purple,Summer,Medium,Denim
25,Item_25,Bottom,Casual,Red,Spring,Medium,Polyester
26,Item_26,Accessory,Streetwear,Brown,Summer,Medium,Denim
27,Item_27,Accessory,Bohemian,Pink,All,Low,Wool
28,Item_28,Top,Formal,Yellow,All,Medium,Synthetic
29,Item_29,Footwear,Streetwear,Green,Summer,Low,Linen
30,Item_30,Outerwear,Bohemian,White,All,Medium,Synthetic
31,Item_31,Outerwear,Formal,White,Winter,Medium,Synthetic
32,Item_32,Outerwear,Streetwear,Yellow,All,Medium,Linen
33,Item_33,Footwear,Formal,Brown,Spring,Medium,Silk
34,Item_34,Accessory,Streetwear,Brown,All,Low,Silk
35,Item_35,Footwear,Casual,Black,Winter,High,Cotton
36,Item_36,Footwear,Streetwear,Pink,Winter,Medium,Silk
37,Item_37,Dress,Streetwear,Pink,Summer,Medium,Silk
38,Item_38,Bottom,Streetwear,Purple,Fall,High,Linen
39,Item_39,Footwear,Streetwear,White,Winter,High,Polyester
40,Item_40,Footwear,Bohemian,Purple,Summer,Low,Denim
41,Item_41,Dress,Sporty,Red,Summer,Medium,Silk
42,Item_42,Bottom,Bohemian,Grey,All,Medium,Wool
43,Item_43,Accessory,Bohemian,Yellow,All,Low,Polyester
44,Item_44,Accessory,Casual,Pink,Summer,Low,Polyester
45,Item_45,Outerwear,Streetwear,Purple,Spring,Medium,Cotton
46,Item_46,Top,Bohemian,Yellow,Summer,Medium,Wool
47,Item_47,Footwear,Formal,Brown,All,High,Polyester
48,Item_48,Footwear,Streetwear,Purple,Winter,Low,Denim
49,Item_49,Top,Casual,Purple,Spring,High,Wool
50,Item_50,Footwear,Casual,Brown,Fall,High,Denim
51,Item_51,Accessory,Formal,Yellow,Winter,Medium,Cotton
52,Item_52,Footwear,Casual,Yellow,All,Low,Cotton
53,Item_53,Footwear,Streetwear,Brown,Winter,Medium,Silk
54,Item_54,Top,Sporty,Purple,Winter,Medium,Denim
55,Item_55,Accessory,Sporty,Brown,All,Medium,Linen
56,Item_56,Dress,Bohemian,Blue,Winter,Medium,Denim
57,Item_57,Dress,Casual,Pink,Summer,High,Cotton
58,Item_58,Top,Streetwear,Blue,Spring,Low,Linen
59,Item_59,Dress,Formal,Red,All,Medium,Denim
60,Item_60,Outerwear,Formal,Brown,Spring,High,Wool
61,Item_61,Outerwear,Streetwear,Purple,Summer,Medium,Silk
62,Item_62,Accessory,Streetwear,Grey,All,Low,Silk
63,Item_63,Top,Formal,Yellow,Summer,Low,Wool
64,Item_64,Bottom,Casual,Yellow,Fall,Medium,Polyester
65,Item_65,Accessory,Bohemian,Grey,Fall,Medium,Synthetic
66,Item_66,Footwear,Bohemian,White,Fall,Low,Linen
67,Item_67,Bottom,Bohemian,Green,Spring,Low,Linen
68,Item_68,Footwear,Streetwear,Pink,Fall,Medium,Denim
69,Item_69,Accessory,Formal,Blue,Fall,Low,Synthetic
70,Item_70,Dress,Formal,Grey,Summer,High,Synthetic
71,Item_71,Dress,Formal,Blue,Winter,Medium,Polyester
72,Item_72,Outerwear,Formal,Red,Winter,Medium,Polyester
73,Item_73,Bottom,Formal,Purple,Fall,Low,Denim
74,Item_74,Top,Sporty,Purple,Winter,High,Synthetic
75,Item_75,Footwear,Streetwear,Yellow,Fall,Low,Linen
76,Item_76,Dress,Streetwear,Yellow,Fall,Low,Synthetic
77,Item_77,Accessory,Sporty,White,Spring,Low,Cotton
78,Item_78,Footwear,Bohemian,White,All,Low,Denim
79,Item_79,Top,Casual,Blue,Winter,Medium,Cotton
80,Item_80,Footwear,Streetwear,Blue,Fall,Medium,Wool
81,Item_81,Outerwear,Streetwear,Red,Winter,Low,Cotton
82,Item_82,Top,Sporty,Red,Spring,Medium,Polyester
83,Item_83,Top,Streetwear,Red,Spring,Medium,Polyester
84,Item_84,Footwear,Streetwear,Purple,Fall,High,Polyester
85,Item_85,Footwear,Bohemian,Purple,Winter,Low,Synthetic
86,Item_86,Dress,Sporty,Blue,Winter,Low,Linen
87,Item_87,Footwear,Streetwear,Black,Winter,Low,Synthetic
88,Item_88,Top,Formal,Brown,Spring,Medium,Linen
89,Item_89,Accessory,Sporty,White,Summer,Medium,Cotton
90,Item_90,Footwear,Bohemian,Blue,Summer,Medium,Polyester
91,Item_91,Accessory,Casual,White,Winter,Low,Silk
